Date,Description,Category,Amount,Type,clean_description
30-04-2020,Hair attorney professional.,Travel,1853.77,Expense,hair attorney professional
01-05-2020,Finish summer rest feel finally.,Travel,851.78,Expense,finish summer rest feel finally
03-05-2020,I fast camera inside.,Salary,318.05,Expense,fast camera inside
03-05-2020,Past feeling nature.,Food & Drink,1162.57,Expense,past feeling nature
05-05-2020,Expert involve oil.,Health & Fitness,123.76,Expense,expert involve oil
06-05-2020,Kid put memory soldier.,Utilities,123.19,Expense,kid put memory soldier
06-05-2020,Exist professional.,Utilities,146.36,Expense,exist professional
07-05-2020,Stand seem.,Investment,3807,Income,stand seem
11-05-2020,Southern challenge animal.,Investment,825,Income,southern challenge animal
12-05-2020,Sure authority increase picture create.,Shopping,1318.17,Expense,sure authority increase picture create
13-05-2020,Hundred challenge reach throughout.,Health & Fitness,1870.07,Expense,hundred challenge reach throughout
14-05-2020,Despite sound receive let.,Health & Fitness,484.99,Expense,despite sound receive let
15-05-2020,True building card.,Travel,919.88,Expense,true building card
16-05-2020,Write other wear through partner.,Rent,28.54,Expense,write wear partner
17-05-2020,Store natural today season.,Rent,155.79,Expense,store natural today season
19-05-2020,Else easy point she.,Travel,273.59,Expense,else easy point
20-05-2020,Phone ever back experience.,Rent,1759.75,Expense,phone ever back experience
21-05-2020,Floor music catch discuss.,Utilities,881.99,Expense,floor music catch discuss
25-05-2020,Ask imagine my.,Travel,1227.24,Expense,ask imagine
27-05-2020,Deal information.,Food & Drink,1339.05,Expense,deal information
28-05-2020,Task she.,Rent,1878.47,Expense,task
29-05-2020,Accept goal send table.,Investment,1376,Income,accept goal send table
30-05-2020,Section national owner determine detail.,Utilities,551.97,Expense,section national owner determine detail
31-05-2020,Ahead from quickly identify.,Health & Fitness,415.16,Expense,ahead quickly identify
31-05-2020,Try wonder move trade.,Travel,1015.76,Expense,try wonder move trade
01-06-2020,Base investment.,Food & Drink,193.67,Expense,base investment
02-06-2020,Anyone here deep.,Travel,97.73,Expense,anyone deep
05-06-2020,Seven here sell story.,Utilities,1277.86,Expense,seven sell story
06-06-2020,Like see.,Salary,1107.84,Expense,like see
07-06-2020,Difference attention whatever american.,Food & Drink,232.63,Expense,difference attention whatever american
08-06-2020,Current after charge.,Utilities,1095.72,Expense,current charge
09-06-2020,Prove nor design record.,Utilities,865.28,Expense,prove design record
09-06-2020,Paper white responsibility.,Other,826,Income,paper white responsibility
10-06-2020,Blue agent find.,Entertainment,1367.31,Expense,blue agent find
10-06-2020,Walk cup option store.,Health & Fitness,1562.43,Expense,walk cup option store
11-06-2020,Recent feeling.,Shopping,1947.94,Expense,recent feeling
11-06-2020,Site girl into have media.,Entertainment,1730.57,Expense,site girl media
12-06-2020,Support state.,Utilities,1764.02,Expense,support state
14-06-2020,Whether player stock religious.,Other,3872,Income,whether player stock religious
15-06-2020,Safe whole establish.,Entertainment,540.94,Expense,safe whole establish
18-06-2020,Let stay or focus.,Rent,771.26,Expense,let stay focus
18-06-2020,Everything late.,Other,2322,Income,everything late
18-06-2020,Particular her agreement surface consider.,Other,3364,Income,particular agreement surface consider
19-06-2020,Something future they red.,Entertainment,453.62,Expense,something future red
19-06-2020,Act way beat result major.,Shopping,663.24,Expense,act way beat result major
21-06-2020,Position make society behavior.,Travel,708.78,Expense,position make society behavior
21-06-2020,Reality fill ok list.,Health & Fitness,1879.08,Expense,reality fill list
22-06-2020,International second former reflect.,Other,1962,Income,international second former reflect
22-06-2020,Edge building court.,Travel,86.13,Expense,edge building court
24-06-2020,Week real course school everybody.,Health & Fitness,1459.8,Expense,week real course school everybody
30-06-2020,Executive beyond create dinner conference.,Rent,776.54,Expense,executive beyond create dinner conference
30-06-2020,Call animal approach factor want.,Travel,98.33,Expense,call animal approach factor want
03-07-2020,Key continue anything wait.,Other,3071,Income,key continue anything wait
04-07-2020,State husband.,Rent,1442.31,Expense,state husband
05-07-2020,Picture approach chance none fight.,Travel,1337.12,Expense,picture approach chance none fight
06-07-2020,Newspaper indicate other.,Travel,1113.28,Expense,newspaper indicate
06-07-2020,Herself training father open investment.,Other,1925,Income,training father open investment
08-07-2020,Art whether between several personal.,Travel,818.09,Expense,art whether several personal
11-07-2020,Church community.,Travel,580.96,Expense,church community
12-07-2020,Able late order.,Health & Fitness,935.33,Expense,able late
12-07-2020,Discuss religious.,Entertainment,1027.24,Expense,discuss religious
13-07-2020,Reach under.,Utilities,1321.11,Expense,reach
17-07-2020,Boy different chance enter.,Health & Fitness,195.84,Expense,boy different chance enter
20-07-2020,Arrive society.,Entertainment,1348.86,Expense,arrive society
21-07-2020,Keep light fight.,Entertainment,303.23,Expense,keep light fight
21-07-2020,Matter management ball.,Other,1096,Income,matter management ball
22-07-2020,Same page ago director.,Entertainment,1439.51,Expense,page ago director
22-07-2020,Week yourself public especially american.,Shopping,495.53,Expense,week public especially american
22-07-2020,Million kind everything young.,Food & Drink,1786.39,Expense,million kind everything young
23-07-2020,Why like impact fly.,Rent,1559.06,Expense,like impact fly
24-07-2020,Form really explain.,Salary,109.93,Expense,form really explain
28-07-2020,Already because education break significant.,Rent,918.36,Expense,already education break significant
28-07-2020,Price my.,Health & Fitness,1900.58,Expense,price
29-07-2020,Could gun.,Shopping,1662.83,Expense,could gun
30-07-2020,Kind appear environment capital explain.,Utilities,1489.87,Expense,kind appear environment capital explain
31-07-2020,Ahead picture son.,Travel,1506.04,Expense,ahead picture son
01-08-2020,Nearly need behavior.,Travel,1533.97,Expense,nearly need behavior
01-08-2020,Water positive child usually.,Entertainment,556.45,Expense,water positive child usually
01-08-2020,Relate indeed lot line lead.,Other,2420,Income,relate indeed lot line lead
02-08-2020,Course out second carry.,Health & Fitness,1787.12,Expense,course second carry
03-08-2020,Significant take future.,Investment,2394,Income,significant take future
04-08-2020,Star executive fear.,Utilities,1415.77,Expense,star executive fear
04-08-2020,Your majority chance mrs generation.,Other,3210,Income,majority chance mrs generation
04-08-2020,Help usually thank wonder draw.,Shopping,133.91,Expense,help usually thank wonder draw
05-08-2020,Task improve fish.,Shopping,1810.63,Expense,task improve fish
05-08-2020,History professional star wonder.,Food & Drink,1714.9,Expense,history professional star wonder
06-08-2020,Call whole.,Shopping,959.19,Expense,call whole
08-08-2020,Them key.,Travel,1509.42,Expense,key
08-08-2020,Address century that wide.,Shopping,1081.06,Expense,address century wide
09-08-2020,Sit enter perhaps however.,Entertainment,981.58,Expense,sit enter perhaps however
13-08-2020,System teacher here first.,Salary,67.76,Expense,system teacher first
14-08-2020,Along attention piece tv young.,Shopping,1451.12,Expense,along attention piece young
16-08-2020,Within set region beyond.,Utilities,1961.64,Expense,within set region beyond
17-08-2020,Tough animal someone.,Shopping,1187.87,Expense,tough animal someone
18-08-2020,Hear certainly most not.,Rent,1289.07,Expense,hear certainly
19-08-2020,Company participant him.,Other,1988,Income,company participant
20-08-2020,Tree central leave effect.,Other,3181,Income,tree central leave effect
21-08-2020,Together let.,Health & Fitness,681.63,Expense,together let
21-08-2020,Citizen kid generation onto police.,Travel,1506.5,Expense,citizen kid generation onto police
22-08-2020,Lead few yourself.,Travel,1671.47,Expense,lead
22-08-2020,Down occur.,Food & Drink,1999.82,Expense,occur
26-08-2020,Yeah far within.,Rent,1564.65,Expense,yeah far within
27-08-2020,Account ten sing.,Food & Drink,1899.73,Expense,account ten sing
27-08-2020,Seat strategy total simply discover.,Investment,1748,Income,seat strategy total simply discover
29-08-2020,Pm per question.,Salary,1342.22,Expense,per question
30-08-2020,Best physical always small almost.,Entertainment,935.42,Expense,best physical always small almost
31-08-2020,Bed far section.,Health & Fitness,343.9,Expense,bed far section
01-09-2020,Car much will.,Rent,1557.81,Expense,car much
05-09-2020,Tree store either station.,Other,1385,Income,tree store either station
05-09-2020,Second full boy.,Travel,1155.84,Expense,second full boy
06-09-2020,Senior difficult put.,Shopping,799.34,Expense,senior difficult put
07-09-2020,Hand so add mr lawyer.,Rent,1188.27,Expense,hand add lawyer
08-09-2020,Herself police he push likely.,Entertainment,212.78,Expense,police push likely
11-09-2020,Trip determine as statement.,Rent,1594.49,Expense,trip determine statement
11-09-2020,Bring animal also you.,Food & Drink,700.94,Expense,bring animal also
11-09-2020,Doctor mr.,Health & Fitness,147.22,Expense,doctor
16-09-2020,He we recent music.,Food & Drink,1700.66,Expense,recent music
17-09-2020,Those pressure street.,Rent,872.71,Expense,pressure street
17-09-2020,Allow have kitchen.,Salary,1417.54,Expense,allow kitchen
18-09-2020,Between rate name within.,Travel,1235.67,Expense,rate name within
18-09-2020,Huge couple.,Salary,935.1,Expense,huge couple
22-09-2020,Begin deep police wife.,Travel,651.39,Expense,begin deep police wife
22-09-2020,During call north attention.,Rent,565.07,Expense,call north attention
22-09-2020,Only spend do.,Salary,1144,Expense,spend
23-09-2020,Able teach certain candidate economy.,Health & Fitness,67.11,Expense,able teach certain candidate economy
23-09-2020,Produce ago.,Utilities,980.22,Expense,produce ago
25-09-2020,So draw food company.,Travel,687.27,Expense,draw food company
27-09-2020,Score moment second.,Travel,1116.02,Expense,score moment second
27-09-2020,Sing message board mean.,Entertainment,180.37,Expense,sing message board mean
27-09-2020,Feeling poor all your suggest.,Salary,1114.8,Expense,feeling poor suggest
29-09-2020,Make travel.,Salary,1295.35,Expense,make travel
30-09-2020,Focus chance.,Food & Drink,195.18,Expense,focus chance
01-10-2020,Person one republican.,Entertainment,619.35,Expense,person one republican
03-10-2020,Most law painting between reduce.,Salary,1111.41,Expense,law painting reduce
04-10-2020,Involve thousand including.,Health & Fitness,710.1,Expense,involve thousand including
07-10-2020,Indeed believe interview professor.,Travel,510.29,Expense,indeed believe interview professor
07-10-2020,Rather listen before.,Investment,3084,Income,rather listen
07-10-2020,It season.,Investment,2069,Income,season
08-10-2020,News only no.,Salary,560.23,Expense,news
08-10-2020,Improve them wait.,Travel,1961.22,Expense,improve wait
10-10-2020,Why outside.,Travel,462.69,Expense,outside
10-10-2020,Official defense.,Investment,4875,Income,official defense
10-10-2020,Suggest glass news.,Investment,946,Income,suggest glass news
12-10-2020,Off southern suddenly.,Utilities,1279.36,Expense,southern suddenly
14-10-2020,Participant price.,Rent,1746.71,Expense,participant price
15-10-2020,Congress reflect.,Salary,962.64,Expense,congress reflect
16-10-2020,Go consider century price.,Food & Drink,512.43,Expense,consider century price
16-10-2020,Scientist will begin.,Rent,1646.01,Expense,scientist begin
16-10-2020,Heavy law church.,Rent,1158.27,Expense,heavy law church
18-10-2020,Since nothing be apply.,Utilities,306.9,Expense,since nothing apply
19-10-2020,Anyone bank kitchen interest parent.,Travel,179.51,Expense,anyone kitchen interest parent
23-10-2020,Democratic mention generation.,Shopping,1216.57,Expense,democratic mention generation
24-10-2020,Question or money.,Entertainment,1553.63,Expense,question money
26-10-2020,Determine worker.,Salary,601.73,Expense,determine worker
27-10-2020,Daughter war.,Shopping,617.71,Expense,daughter war
27-10-2020,Face build market.,Rent,1895.7,Expense,face build market
27-10-2020,Can mouth discover.,Entertainment,536.65,Expense,mouth discover
28-10-2020,Author technology amount affect.,Investment,1923,Income,author technology amount affect
29-10-2020,Office of remember individual.,Utilities,15.32,Expense,office remember individual
30-10-2020,Again foot soon peace.,Salary,589.61,Expense,foot soon peace
31-10-2020,Join black.,Travel,1408.95,Expense,join black
01-11-2020,Hundred bad that second develop.,Entertainment,1848.58,Expense,hundred bad second develop
01-11-2020,Member box.,Entertainment,856.03,Expense,member box
02-11-2020,Town glass road.,Utilities,1817.74,Expense,town glass road
04-11-2020,Bill eight community.,Rent,128.68,Expense,bill eight community
06-11-2020,Concern significant.,Travel,883.92,Expense,concern significant
07-11-2020,Senior service large under.,Travel,1402.47,Expense,senior service large
09-11-2020,Follow wife firm key light.,Salary,881.14,Expense,follow wife firm key light
10-11-2020,Option goal avoid.,Shopping,1471.72,Expense,option goal avoid
10-11-2020,Also hard expert popular.,Food & Drink,191.74,Expense,also hard expert popular
12-11-2020,Order his oil west school.,Food & Drink,1999.15,Expense,oil west school
12-11-2020,Training occur could painting.,Travel,1156.73,Expense,training occur could painting
14-11-2020,Whatever late specific.,Utilities,946.3,Expense,whatever late specific
14-11-2020,Mean common.,Travel,371.16,Expense,mean common
14-11-2020,Yard model particular hair.,Salary,1938.42,Expense,yard model particular hair
14-11-2020,Impact full our smile.,Shopping,673.28,Expense,impact full smile
15-11-2020,Form newspaper.,Utilities,666.31,Expense,form newspaper
15-11-2020,Edge surface who.,Travel,1328.54,Expense,edge surface
16-11-2020,Bank professional true financial.,Food & Drink,915.1,Expense,professional true financial
16-11-2020,Organization visit finally.,Health & Fitness,240.68,Expense,organization visit finally
17-11-2020,Spend prove stock school.,Food & Drink,1318.74,Expense,spend prove stock school
20-11-2020,Position interest.,Shopping,117.87,Expense,position interest
22-11-2020,Guy congress.,Salary,1254.56,Expense,guy congress
23-11-2020,Way main difficult case.,Entertainment,541.44,Expense,way main difficult case
25-11-2020,Such big side.,Other,4089,Income,big side
25-11-2020,Product then.,Salary,251.64,Expense,product
26-11-2020,Heavy class story side speak.,Entertainment,1422.47,Expense,heavy class story side speak
27-11-2020,Analysis hair rest wide.,Food & Drink,1108.98,Expense,analysis hair rest wide
27-11-2020,Doctor dream whole six.,Investment,4280,Income,doctor dream whole six
29-11-2020,Question now key show.,Utilities,1001.77,Expense,question key show
01-12-2020,Month whom stage soon.,Travel,836.83,Expense,month stage soon
05-12-2020,Appear lose he.,Salary,495.02,Expense,appear lose
05-12-2020,Surface expect several evening town.,Shopping,389.31,Expense,surface expect several evening town
06-12-2020,Begin treat stage this.,Utilities,1729.41,Expense,begin treat stage
10-12-2020,Apply maybe dog yes.,Shopping,686.35,Expense,apply maybe dog yes
10-12-2020,Agreement us stuff.,Travel,1642.89,Expense,agreement stuff
11-12-2020,Case expert stop.,Travel,1676.58,Expense,case expert stop
12-12-2020,Large accept bad eight.,Salary,1731.87,Expense,large accept bad eight
13-12-2020,Vote participant institution simply down.,Salary,696.8,Expense,vote participant institution simply
14-12-2020,Draw police.,Shopping,916.14,Expense,draw police
14-12-2020,Book toward.,Entertainment,1961.74,Expense,book toward
16-12-2020,Place offer.,Shopping,474.79,Expense,place offer
16-12-2020,Investment pass drive.,Food & Drink,643.17,Expense,investment pass drive
16-12-2020,Professor beat window.,Shopping,778.3,Expense,professor beat window
18-12-2020,Name skill medical after them.,Utilities,995.7,Expense,name skill medical
18-12-2020,Wonder effect administration small.,Other,1322,Income,wonder effect administration small
20-12-2020,Run pick sign.,Salary,208.43,Expense,run pick sign
20-12-2020,And national spend.,Food & Drink,1447.66,Expense,national spend
22-12-2020,Wonder long consider care.,Utilities,158.91,Expense,wonder long consider care
23-12-2020,Fall analysis.,Travel,683.74,Expense,fall analysis
23-12-2020,Firm financial.,Rent,1705.01,Expense,firm financial
24-12-2020,List already positive experience television.,Shopping,1908.74,Expense,list already positive experience television
25-12-2020,Event son join hundred.,Salary,1746.04,Expense,event son join hundred
26-12-2020,Fund cost reality happen.,Investment,2423,Income,fund cost reality happen
28-12-2020,Song risk bad.,Travel,1994.88,Expense,song risk bad
30-12-2020,Family bill foreign fast knowledge.,Shopping,1956.89,Expense,family bill foreign fast knowledge
31-12-2020,Ready goal amount.,Rent,892.92,Expense,ready goal amount
01-01-2021,Your ever woman way avoid.,Food & Drink,101.52,Expense,ever woman way avoid
06-01-2021,Message seek civil all.,Travel,723.34,Expense,message seek civil
06-01-2021,Call door.,Entertainment,1067.02,Expense,call door
08-01-2021,Him note painting quickly.,Utilities,348.27,Expense,note painting quickly
10-01-2021,Know baby case happen.,Other,2472,Income,know baby case happen
10-01-2021,Economic box save.,Utilities,472.06,Expense,economic box save
11-01-2021,Hit no energy employee land.,Salary,518.1,Expense,hit energy employee land
12-01-2021,Customer career available common.,Other,2856,Income,customer career available common
13-01-2021,Specific whose.,Utilities,156.99,Expense,specific whose
13-01-2021,Remember nearly face feel.,Travel,1281.49,Expense,remember nearly face feel
14-01-2021,Soldier meeting building.,Travel,919.1,Expense,soldier meeting building
14-01-2021,Door management guess.,Shopping,1708.14,Expense,door management guess
15-01-2021,Level work candidate this.,Other,3440,Income,level work candidate
15-01-2021,Huge response long.,Travel,53.66,Expense,huge response long
17-01-2021,Statement available win politics.,Shopping,556.22,Expense,statement available win politics
17-01-2021,Quite general there sister.,Food & Drink,1822.13,Expense,quite general sister
19-01-2021,Item treat area.,Travel,1553.72,Expense,item treat area
20-01-2021,Check clearly follow remember generation.,Health & Fitness,445.82,Expense,check clearly follow remember generation
24-01-2021,Suffer economy play.,Other,1620,Income,suffer economy play
26-01-2021,By field move.,Food & Drink,624.78,Expense,field move
27-01-2021,Option oil commercial.,Health & Fitness,1467.4,Expense,option oil commercial
27-01-2021,American tell ball we side.,Other,3176,Income,american tell ball side
27-01-2021,Short indicate police.,Utilities,409.58,Expense,short indicate police
27-01-2021,Nation politics few each southern.,Health & Fitness,1066.4,Expense,nation politics southern
29-01-2021,Law read citizen.,Utilities,521.37,Expense,law read citizen
02-02-2021,Less future century technology.,Salary,1935.09,Expense,less future century technology
05-02-2021,Wish candidate have no.,Health & Fitness,1610.42,Expense,wish candidate
05-02-2021,Letter environment easy.,Rent,290.11,Expense,letter environment easy
08-02-2021,Face his.,Shopping,1934.87,Expense,face
08-02-2021,While total spend.,Health & Fitness,189.7,Expense,total spend
09-02-2021,Couple city you level.,Travel,1077.78,Expense,couple city level
09-02-2021,Age war measure whom.,Travel,1173.27,Expense,age war measure
11-02-2021,Good anything manager think pressure.,Health & Fitness,225.61,Expense,good anything manager think pressure
11-02-2021,Mr suggest issue.,Food & Drink,1242.9,Expense,suggest issue
13-02-2021,Shake hand hundred now.,Health & Fitness,1831.36,Expense,shake hand hundred
16-02-2021,Network available mean share.,Rent,1274.45,Expense,network available mean share
18-02-2021,Quite budget window hour some.,Travel,1301.99,Expense,quite budget window hour
19-02-2021,Voice sense current meeting matter.,Investment,804,Income,voice sense current meeting matter
20-02-2021,Case four.,Salary,241.08,Expense,case four
21-02-2021,Lead paper middle foreign party.,Utilities,783.41,Expense,lead paper middle foreign party
23-02-2021,Wrong school federal from.,Shopping,1178.81,Expense,wrong school federal
24-02-2021,Majority none little admit former.,Shopping,1313.29,Expense,majority none little admit former
27-02-2021,On someone rise read.,Shopping,1878.72,Expense,someone rise read
28-02-2021,Listen whose situation simply officer.,Health & Fitness,442.37,Expense,listen whose situation simply officer
02-03-2021,Lose modern return simple herself.,Entertainment,1712.35,Expense,lose modern return simple
02-03-2021,Occur red.,Other,4960,Income,occur red
02-03-2021,Kid industry.,Health & Fitness,130.49,Expense,kid industry
04-03-2021,Improve simple turn.,Rent,1898.53,Expense,improve simple turn
05-03-2021,Million night your.,Rent,1328.91,Expense,million night
05-03-2021,Heavy what least mouth national.,Food & Drink,110.65,Expense,heavy least mouth national
07-03-2021,Machine whatever everything fear walk.,Utilities,1576.09,Expense,machine whatever everything fear walk
07-03-2021,Relate real major.,Entertainment,1176.9,Expense,relate real major
08-03-2021,Night various return explain.,Entertainment,663.83,Expense,night various return explain
09-03-2021,Here woman stand west source.,Investment,2771,Income,woman stand west source
09-03-2021,Explain research.,Utilities,1975.18,Expense,explain research
10-03-2021,Pretty section degree still.,Utilities,228.75,Expense,pretty section degree still
12-03-2021,Receive case past only drug.,Utilities,39.57,Expense,receive case past drug
15-03-2021,Point appear including.,Entertainment,1181.82,Expense,point appear including
15-03-2021,Race case.,Other,929,Income,race case
16-03-2021,Imagine various there.,Other,4809,Income,imagine various
16-03-2021,Sense expert experience.,Investment,4401,Income,sense expert experience
17-03-2021,Present discussion.,Health & Fitness,1031.34,Expense,present discussion
17-03-2021,Individual study value.,Investment,855,Income,individual study value
18-03-2021,Small control see the.,Travel,921.5,Expense,small control see
19-03-2021,Across nothing.,Food & Drink,1997.19,Expense,across nothing
20-03-2021,Expect writer myself management.,Shopping,1375.33,Expense,expect writer management
21-03-2021,Life cover both class.,Salary,156.25,Expense,life cover class
22-03-2021,Responsibility add front.,Investment,1038,Income,responsibility add front
22-03-2021,Purpose cover particularly police if.,Other,3620,Income,purpose cover particularly police
22-03-2021,Foreign husband believe word local.,Travel,912.89,Expense,foreign husband believe word local
23-03-2021,End dog.,Rent,1588.26,Expense,end dog
23-03-2021,Few reveal activity president.,Investment,4023,Income,reveal activity president
24-03-2021,Property let.,Entertainment,833.49,Expense,property let
25-03-2021,Rather type thousand show.,Shopping,837.82,Expense,rather type thousand show
26-03-2021,Happen determine whatever.,Other,3060,Income,happen determine whatever
27-03-2021,Lawyer writer health.,Health & Fitness,1907.65,Expense,lawyer writer health
28-03-2021,Serious soon stay seven.,Salary,143.6,Expense,serious soon stay seven
29-03-2021,Land region back nor article.,Rent,869.43,Expense,land region back article
30-03-2021,Dark mr clearly take.,Health & Fitness,1625.42,Expense,dark clearly take
01-04-2021,Quite response.,Health & Fitness,1343.33,Expense,quite response
02-04-2021,Together knowledge.,Shopping,1737.5,Expense,together knowledge
03-04-2021,Car indeed nor next.,Travel,1204.82,Expense,car indeed next
03-04-2021,How staff.,Entertainment,317.91,Expense,staff
03-04-2021,Authority interest red must art.,Rent,706.73,Expense,authority interest red must art
08-04-2021,All important shoulder she.,Rent,1527.59,Expense,important shoulder
08-04-2021,Year him thank trade.,Shopping,1691.86,Expense,year thank trade
09-04-2021,Radio product.,Food & Drink,1221.9,Expense,radio product
11-04-2021,President girl condition.,Travel,67.62,Expense,president girl condition
11-04-2021,More road development about.,Travel,1843.86,Expense,road development
12-04-2021,Leg rest interest.,Utilities,1741.03,Expense,leg rest interest
13-04-2021,Easy get every.,Shopping,148.47,Expense,easy get every
18-04-2021,Special information.,Food & Drink,192.6,Expense,special information
19-04-2021,Deal beyond almost.,Shopping,845.47,Expense,deal beyond almost
19-04-2021,Scientist i doctor.,Health & Fitness,630.16,Expense,scientist doctor
19-04-2021,Cell year.,Rent,1767.85,Expense,cell year
19-04-2021,Five our pull fly few.,Investment,1168,Income,five pull fly
21-04-2021,Determine feel article we they.,Shopping,976.47,Expense,determine feel article
23-04-2021,Quickly new another general poor.,Travel,438.98,Expense,quickly new another general poor
23-04-2021,Five indicate chance heavy senior.,Health & Fitness,865.53,Expense,five indicate chance heavy senior
24-04-2021,Support feeling remain.,Salary,1058.6,Expense,support feeling remain
27-04-2021,None whose.,Entertainment,796.57,Expense,none whose
27-04-2021,Care drug data position two.,Food & Drink,416.8,Expense,care drug data position two
27-04-2021,Movie stop.,Utilities,1530.68,Expense,movie stop
30-04-2021,Help painting always.,Rent,25.38,Expense,help painting always
02-05-2021,Source onto provide.,Utilities,267.08,Expense,source onto provide
04-05-2021,Decade trade field training.,Entertainment,1005.52,Expense,decade trade field training
04-05-2021,While bring yourself.,Health & Fitness,153.43,Expense,bring
06-05-2021,Receive region however.,Food & Drink,878.08,Expense,receive region however
07-05-2021,Focus executive letter possible final.,Rent,1725.6,Expense,focus executive letter possible final
